"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"3610";"56881";"User can use highlighting based prompt generation (Org opt in >=25.16)";"";"";"No";"";"";"";"";"";"";"<p>Turn on feature flag if needed: </p><p>""Enable generating field name and description by selecting text or a table to extract in Build projects""</p><p>Test text-based prompt generation</p><ol><li>In a text extraction field, click prompt suggestion button in the description input</li><li>Select text to extract and click ""Generate""</li><li>Confirm result</li></ol><p> </p><p>Test table-based prompt generation</p><ol><li>In a table extraction field, click prompt suggestion button in the description input</li><li>Select table to extract and click ""Generate""</li><li>Confirm result</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3647";"56904";"User can migrate projects from community to commercial";"";"";"Yes";"";"";"";"";"";"";"<p>apps/src/aihub/__e2e__/BuildApp/aihub-project-migration.spec.ts</p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3650";"56906";"User can use visual reasoning field";"";"";"No";"";"";"";"";"";"";"<ol><li>Test that a visual reasoning field works</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3088";"56616";"User can create and run model confidence validation rules";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/7c449ab/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-validation-library.spec.ts"">aihub-validation-library.spec.ts</a></p>";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3094";"56621";"User uses validations library view";"";"";"No";"";"";"";"";"";"";"<ol><li>Open validations library</li><li>view all validations rules</li><li>create validation rule for specific class</li><li>view validation result for active document</li><li>switch documents -- should update class and update validation results</li><li>Filtering </li></ol>";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3172";"56665";"User can create udf validation rules";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-validation-udf.spec.js"">aihub-validation-udf.spec.js</a></p><p>Additional manual testing</p><ol><li>All saved fields should be available as arguments</li><li>Should not be able to deselect the field to validate</li></ol>";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3173";"56666";"User can run udf validation rules";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-validation-udf.spec.js"">aihub-validation-udf.spec.js</a></p><p>Additional manual cases:</p><ol><li>Reference field to validate, preceding fields, and context['document_text'] from the refinement udf</li><li>Switching to multi-document results view should run udf on all documents</li></ol>";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3209";"56687";"User sees validation aggregate view";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3425";"56771";"Deleting field and classes results in affected validation rules being deleted";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3439";"56779";"Incomplete prompt based validation rule will prevent user from creating app";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3440";"56780";"Prompt-based validations: prompt editor suggests fields as you type";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3441";"56781";"Prompt-based validations: can generate examples and code";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3443";"56782";"Prompt-based validations: can edit prompt and re-generate examples and code";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Validations";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2981";"56589";"Gated to Commercial users";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Human Review";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2982";"56590";"Upsell UI shows for Community users";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Human Review";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3275";"56707";"File names are correct";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3276";"56708";"Class labels show up and are color-coded";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3267";"56703";"Expand All";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test: <a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3269";"56704";"Filters: Records with Invalid Fields";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3271";"56705";"Filters: Classifications";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3463";"56797";"Filters: Records with failing classification validations";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3272";"56706";"Validation Errors show correctly";"";"";"No";"";"";"";"";"";"";"<ol><li>Open a document with field validation failures in Human Review</li><li>You should see a red x in the file list for that document</li></ol>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3464";"56798";"Classification validation errors show correctly";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3657";"56912";"Fetches more documents upon scroll";"";"";"No";"";"";"";"";"";"";"<ol><li>Open more than 10 documents in Human Review</li><li>You should see 10 documents in the file list</li><li>Scroll down</li><li>The remaining documents should load into the file list</li></ol>";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3663";"56918";"Search for files using file name";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3664";"56919";"Group documents by file or classification";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3665";"56920";"Document is marked as seen upon clicking on it";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3666";"56921";"User can toggle whether a document is seen or unseen through clicking the seen indicator";"";"";"No";"";"";"";"";"";"";"";"";"";"";"File List";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3282";"56709";"Can hide left side bar";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/file-list.spec.ts</a></p>";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3283";"56710";"Can pan over document";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3284";"56711";"Can Fit to Window";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3285";"56712";"Zoom in and out";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3287";"56713";"Can jump to any page";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3288";"56714";"Search works in Text View";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3289";"56715";"Switch between Text and Image View";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3290";"56716";"Can Navigate using two-finger scroll";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3291";"56717";"Can Zoom using two-finger pinch";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3377";"56748";"Multi-monitor";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Document view";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3297";"56718";"Can edit classification for records";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3299";"56719";"Create New Record: Only works on selection";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3300";"56720";"Can preview pages when expanding the page";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3301";"56721";"Page numbers are correct";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3302";"56722";"Record Mapping: Move pages from one record to another";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3303";"56723";"Record Mapping: Create new record from non contiguous pages";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3304";"56724";"Record Mapping: Move entire record into another record";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3305";"56725";"Record Mapping: Delete pages";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3306";"56726";"Record Mapping: Delete record";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/documents-grid.spec.ts</a></p>";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3307";"56727";"Record Mapping: Reorder pages within a record";"";"";"Yes";"";"";"";"";"";"";"";"";"";"";"Documents Grid";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3416";"56764";"All documents show up in Results Table for their respective class";"";"";"No";"";"";"";"";"";"";"<ol><li>Create project</li><li>Add a document with table, list, and some text</li><li>Create a Table, List, and Text extraction fields</li><li>Throw in an impossible validation like confidence level &gt; 100%</li><li>Run the app</li><li>Click into Review</li></ol>";"";"";"";"Results Table";"48.936";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3417";"56765";"Field values render correctly for all field types (TEXT, TABLE, LIST)";"";"";"No";"";"";"";"";"";"";"<ol><li>Create project</li><li>Add a document with table, list, and some text</li><li>Create a Table, List, and Text extraction fields</li><li>Throw in an impossible validation like confidence level &gt; 100%</li><li>Run the app</li><li>Click into Review</li></ol>";"";"";"";"Results Table";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3418";"56766";"Clicking on a document selects it so values show up in the field editor for that document";"";"";"No";"";"";"";"";"";"";"<ol><li>Create project</li><li>Add a document with table, list, and some text</li><li>Create a Table, List, and Text extraction fields</li><li>Throw in an impossible validation like confidence level &gt; 100%</li><li>Run the app</li><li>Click into Review</li></ol>";"";"";"";"Results Table";"49";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3424";"56770";"Can search a document's field value or name to filter for documents";"";"";"No";"";"";"";"";"";"";"<ol><li>Create project</li><li>Add a document with table, list, and some text</li><li>Create a Table, List, and Text extraction fields</li><li>Throw in an impossible validation like confidence level &gt; 100%</li><li>Run the app</li><li>Click into Review</li></ol>";"";"";"";"Results Table";"49";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3314";"56728";"Can filter for fields based on name";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3315";"56729";"Showing number of fields is correct";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3321";"56730";"Options: Show Execution Errors";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3322";"56731";"Options: Show Errors";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3323";"56732";"Text Fields: Can Edit";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3324";"56733";"Text Fields: Edit History";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3646";"56903";"Text Field containing a table: Can View and Edit";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3328";"56734";"Dict Fields: Opens up in dictionary editor";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3329";"56735";"Dict Fields: Format text";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3330";"56736";"Dict Fields: Can Edit";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3331";"56737";"Dict Fields: Validation errors visible in editor";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3332";"56738";"Dict Fields: Edit History";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3344";"56744";"Autosave: Triggered after navigating out of  field editing";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3345";"56745";"Auto Revalidate: Triggered after field saving";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3451";"56789";"Can edit classification of document";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/field-editor.spec.ts</a></p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3634";"56891";"Re-extraction on classification change";"";"";"Yes";"";"";"";"";"";"";"<p>There should be successful re-extraction after classification change</p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"4196";"56935";"[Deployment run triggered via API] Can edit classification of document";"";"";"No";"";"";"";"";"";"";"<p>Check that changing classification of a document works for human review on a deployment run triggered via API. Typically Human Review features have only been tested on deployment runs triggered via the UI</p><p>Doc to run deployment via API: <a href=""https://docs.instabase.com/api-sdk/api-reference/runs/run-deployment"">https://docs.instabase.com/api-sdk/api-reference/runs/run-deployment</a></p><p>Will need to create a batch and upload files to that batch first.</p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"4197";"56936";"[Deployment run triggered by API] Re-extraction on classification change";"";"";"No";"";"";"";"";"";"";"<p>Check that changing classification of a document works for human review on a deployment run triggered via API. Typically Human Review features have only been tested on deployment runs triggered via the UI</p><p>Doc to run deployment via API: <a href=""https://docs.instabase.com/api-sdk/api-reference/runs/run-deployment"">https://docs.instabase.com/api-sdk/api-reference/runs/run-deployment</a></p><p>Will need to create a batch and upload files to that batch first.</p>";"";"";"";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"4200";"56938";"Test re-extraction multiple times";"";"";"No";"";"";"";"";"";"";"<p>Test re-extraction for classification change for the following cases - <br />1. Regular document, change class<br />2. Change class for a split classify app <br />3. Change class multiple times </p>";"";"";"<p>When class changes for valid feilds the values should be extracted without an error </p>";"Right Sidebar";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3336";"56739";"Table Fields: Opens up in table editor";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts</a></p>";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3337";"56740";"Table Fields: Can Edit";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3338";"56741";"Table Fields: Can add rows and columns";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts</a></p>";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3339";"56742";"Table Fields: Can delete rows, columns, and cell values";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3340";"56743";"Table Fields: Can select multiple cells and delete all values";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3351";"56746";"Table Fields: Table-level Validation Errors display";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3353";"56747";"Undo/Redo functionality";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress test:<br /><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts"">https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/flow-review/__e2e__/aihub-results/nested-field-editor.spec.ts</a></p>";"";"";"";"Table Editor";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3023";"56606";"Logged in user runs an app that uses ib_llm_tools";"";"";"No";"";"";"";"";"";"";"<p>Use an app that contains a refiner that uses ib_llm_tools functions, such as this one:</p><p><a href=""https://aihub-uat.internal.instabase.com/hub/apps/e6aa6c2b-4085-4eee-820f-55189b53762c"">https://aihub-uat.internal.instabase.com/hub/apps/e6aa6c2b-4085-4eee-820f-55189b53762c</a></p>";"";"";"<figure class=""image""><img src=""/attachments/view/578"" alt=""578"" /></figure>";"Apps";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
